,nama,rating,jumlah_reviewer,tipe,lat,long,alamat,kelurahan,kecamatan,kota,bayesian_rating
828,Kedai Koplo,4.7,60,Coffee shop,-5.1522447,119.4205083,"Makassar Coto, Jalan Lanto Daeng Pasewang, Maricaya Selatan, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Maricaya Selatan,Mamajang,Makassar,4.549053600429608
332,WAYSS COFFEE,4.6,177,Coffee shop,-5.1374144,119.4847196,"Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar,4.548915050640492
348,Marasa Coffee Stand Makassar,4.8,36,Coffee shop,-5.132975,119.479468,"Graha Kampus, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar,4.548894145316384
36,kopitoa topaz,4.8,36,Coffee shop,-5.1546563,119.4389011,"PARADE GUEST HOUSE, Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar,4.548894145316384
972,Manre Na Kopi,5.0,20,Coffee shop,-5.1321367,119.4207938,"Jalan G. Latimojong 2, Gaddong, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90153, Indonesia",Gaddong,Bontoala,Makassar,4.548754213570589
1089,Reussi Coffee,5.0,20,Coffee shop,-5.1603732,119.4200991,"Jalan Macan, Bonto Biraeng, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Bonto Biraeng,Mamajang,Makassar,4.548754213570589
1251,Space Garage,5.0,20,Cafe,-5.1506324,119.4675535,"Jalan Toa Daeng I, Toa Daeng, Batua, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Toa Daeng,Manggala,Makassar,4.548754213570589
191,KOPI TADI,5.0,20,Cafe,-5.156585,119.4257403,"Jalan Wijaya Kusuma I, Banta-Bantaeng, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90111, Indonesia",Banta-Bantaeng,Rappocini,Makassar,4.548754213570589
427,kopiapi coffee roaster 3.0 manggala junction,4.6,175,Espresso bar,-5.0945442,119.5121319,"SPBU 71.902.77, Jalan Perintis Kemerdekaan, Pai, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90615, Indonesia",Pai,Biringkanaya,Makassar,4.548552031631935
1139,cushy prime,4.6,173,Cafe,-5.1585223,119.4184332,"Jalan Singa, Bonto Biraeng, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Bonto Biraeng,Mamajang,Makassar,4.5481838163384705
1080,ATAP HIJAU MAKASSAR,4.8,35,Coffee shop,-5.1601749,119.4192755,"Jalan Macan, Bonto Biraeng, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Bonto Biraeng,Mamajang,Makassar,4.547118856073748
1255,Notion coffee,4.8,35,Coffee shop,-5.1641082,119.4124399,"Jalan Opu Daeng Risadju, Pa'batang, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90126, Indonesia",Pa'batang,Mamajang,Makassar,4.547118856073748
985,Warkop Peng Peng,4.8,35,Coffee shop,-5.1343911,119.4173766,"Jalan Sungai Cerekang, Gaddong, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90115, Indonesia",Gaddong,Bontoala,Makassar,4.547118856073748
324,Kopi Konnichiwa - BTP,4.6,161,Coffee shop,-5.1375558,119.50879,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar,4.545858874330954
946,KOPI SENGKA,4.7,56,Coffee shop,-5.1278653,119.4185808,"Jalan Satanga, Bontoala Parang, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90156, Indonesia",Bontoala Parang,Bontoala,Makassar,4.545336739606458
328,Kopi Wadjar,4.7,56,Coffee shop,-5.1319308,119.4795658,"Jalan Blok E5, BTN Asal Mula, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90232, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar,4.545336739606458
573,Warung Kopi Ujung,5.0,19,Coffee shop,-5.1427132,119.451049,"BADAN PUSAT STATISTIK KOTA MAKASSAR, Jalan Btn Tonasa, Komp. Btn Tonasa (PERUMAHAN), Karampuang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Karampuang,Panakkukang,Makassar,4.545157054264652
334,CIEQ'S COFFEE,4.8,33,Coffee shop,-5.1393426,119.5085242,"Jalan Kedamaian Selatan II, Bumi Tamalanrea Permai, Laniang, Buntusu, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Buntusu,Tamalanrea,Makassar,4.543491890966225
134,Trema kopi,4.8,33,Coffee shop,-5.1749984,119.4442177,"Bus47 Skarda, Jalan Skarda N1, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tidung,Rappocini,Makassar,4.543491890966225
772,Kopi Punggawa,4.8,32,Coffee shop,-5.1285499,119.4276786,"Jalan Sunu, Timungan Lompoa, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90215, Indonesia",Timungan Lompoa,Bontoala,Makassar,4.541639111607511
109,Kopi Kenangan - Ruko Rapoccini,4.8,32,Coffee shop,-5.1539531,119.4275954,"Jalan Rappocini Raya, Rappo Ciniʼ, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90111, Indonesia",Rappocini,Rappocini,Makassar,4.541639111607511
1015,Kopi Dg. Sija Mapala Satu Sembilan,4.8,32,Cafe,-5.1681785,119.437697,"Bonto Teʼne, Tidung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Tidung,Rappocini,Makassar,4.541639111607511
61,Kopi Raya,4.8,32,Cafe,-5.1660121,119.4495661,"Jalan Toddopuli Raya, Kassiʼ-Kassiʼ, Kassi-Kassi, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Kassi-Kassi,Rappocini,Makassar,4.541639111607511
1169,Kungai Coffee,5.0,18,Coffee shop,-5.1638509,119.474018,"Jalan Borong Raya, Ujung Bori, Bitoa, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Bitoa,Manggala,Makassar,4.541502083745686
1160,Zeeya Coffee,4.7,52,Coffee shop,-5.1569465,119.4809312,"Pannaraʼ, Antang, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Antang,Manggala,Makassar,4.54143221189939
509,Warkop Kita Kopi,4.7,52,Cafe,-5.1781615,119.4146554,"Jalan Daeng Ngeppe, Bonto Tannga, Balang Baru, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90224, Indonesia",Balang Baru,Tamalate,Makassar,4.54143221189939
475,WARKOP KOPLENG (KOPI LE'LENG),4.6,140,Coffee shop,-5.1796041,119.4257076,"Mannuruki, Bonto Duri, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",Bonto Duri,Tamalate,Makassar,4.5412454171175245
66,Kedai kopi ariana,4.7,51,Coffee shop,-5.1608429,119.4539014,"Kompleks Pertokoan Toddoppuli Panakkukang Mas, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Paropo,Panakkukang,Makassar,4.540425080839905
1305,Warkop 99,4.8,31,Coffee shop,-5.1609465,119.4135366,"Kantor Pos Mattoanging, Jalan Opu Daeng Risadju, Mario, Mariso, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Mario,Mariso,Makassar,4.5397593719542195
1072,Fifteen Coffee and Eatery,4.8,31,Cafe,-5.1634897,119.4158522,"Parang, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Parang,Mamajang,Makassar,4.5397593719542195
360,Kopi'ngumpul,4.7,50,Coffee shop,-5.1346268,119.4790314,"Jalan Blok C14, BTN Asal Mula, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar,4.539405074574262
1011,WARKOP SAHABUDDIN/ACO,4.7,50,Cafe,-5.1226661,119.4201613,"Jalan Tinumbu, Layang, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90156, Indonesia",Layang,Bontoala,Makassar,4.539405074574262
770,Goedang Sumba,4.9,22,Coffee shop,-5.1310183,119.4109343,"Pattunuang, Wajo, Makassar, Sulawesi Selatan, Sulawesi, 90171, Indonesia",Pattunuang,Wajo,Makassar,4.538652551056816
1,Kopikost - Coffee & Roastery,4.6,128,Coffee shop,-5.1444941,119.452607,"Profesor Abdurrahman Basalamah, Karampuang, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Karampuang,Panakkukang,Makassar,4.538238081154693
1179,TEMAN LAWAS COFFEE HOUSE,4.8,30,Cafe,-5.1639025,119.4550612,"Jalan Toddopuli VII, Panakkukang Permai, Borong, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Borong,Manggala,Makassar,4.537852079233721
381,Sometimes,5.0,17,Coffee shop,-5.1384721,119.4832874,"Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar,4.537787897067478
606,Rumah Kopi 37,4.6,125,Coffee shop,-5.1418749,119.4120835,"Obonk, Jalan Botolempangan, Sawerigading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",Sawerigading,Ujung Pandang,Makassar,4.537437520650124
1010,Warkop Akar Te'ne,4.7,48,Cafe,-5.1211559,119.4208715,"Layang, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90165, Indonesia",Layang,Bontoala,Makassar,4.5373254360526145
342,Kuva kopi,4.7,48,Coffee shop,-5.1325974,119.4998297,"Mie Titi, Jalan Tamalanrea Selatan I, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar,4.5373254360526145
979,Kopita 23,4.6,121,Coffee shop,-5.1562257,119.4177553,"Jalan Onta Lama, Mamajang Luar, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Mamajang Luar,Mamajang,Makassar,4.536337255199554
248,Basto Id,4.7,47,Coffee shop,-5.1270561,119.4288575,"Jalan Sunu, Kalukuang, Tallo, Makassar, Sulawesi Selatan, Sulawesi, 90215, Indonesia",Kalukuang,Tallo,Makassar,4.53626528731213
511,Kopi Tama Antang,4.8,29,Cafeteria,-5.168458,119.4922795,"Jalan Lasuloro Dalam 7, Biring Romang, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90234, Indonesia",Biring Romang,Manggala,Makassar,4.535916623167466
846,Es Kopi Indonesia Sudiang,4.8,29,Coffee shop,-5.0815268,119.5257475,"Sudiang, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90615, Indonesia",Sudiang,Biringkanaya,Makassar,4.535916623167466
993,WARKOP 167,4.9,21,Coffee shop,-5.1246719,119.420124,"Jalan Tinumbu, Bunga Ejaya, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90156, Indonesia",Bunga Ejaya,Bontoala,Makassar,4.535817231187659
1145,Lobi kopi,4.9,21,Coffee shop,-5.1666506,119.4945804,"Jalan Nipa-Nipa III, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90234, Indonesia",Manggala,Manggala,Makassar,4.535817231187659
1096,Rums Cafe,4.9,21,Coffee shop,-5.157342,119.4205814,"Jalan Tupai, Bonto Biraeng, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Bonto Biraeng,Mamajang,Makassar,4.535817231187659
1052,Uncle Jo Coffee & Bike,4.7,46,Coffee shop,-5.1371029,119.420867,"Lariang Bangi, Makassar, Sulawesi Selatan, Sulawesi, 90145, Indonesia",Lariang Bangi,Makassar,Makassar,4.535191229968869
54,KOPI LATIMOJONG,4.7,46,Coffee shop,-5.1600865,119.4539132,"Jalan Toddopuli Raya, Kompleks Pertokoan Toddoppuli Panakkukang Mas, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90231, Indonesia",Paropo,Panakkukang,Makassar,4.535191229968869
160,Teman Nongkrong,4.6,115,Coffee shop,-5.183731,119.4520111,"BTN Minasa Upa, Jipang, Karunrung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90161, Indonesia",Karunrung,Rappocini,Makassar,4.534612328454919
1044,KOPI OM BROTO,4.7,45,Coffee shop,-5.1495961,119.4218196,"Jalan Rusa, Maricaya, Makassar, Sulawesi Selatan, Sulawesi, 90142, Indonesia",Maricaya,Makassar,Makassar,4.534102988505003
469,AILA COFFEE,4.8,28,Cafe,-5.1734026,119.4158857,"Warteg Upie 2, Jalan Andi Mappaodang, Bonto Kamase, Jongaya, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",Jongaya,Tamalate,Makassar,4.533952375319936
1163,Toko Kopi Rakyat,4.8,28,Coffee shop,-5.1759297,119.477525,"Komp. Pesona Prima Griya, Bangkala, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 92114, Indonesia",Bangkala,Manggala,Makassar,4.533952375319936
777,Gandangbatu Coffee,4.6,111,Coffee wholesaler,-5.1138636,119.5056677,"Pasar Grosir Daya Modern, Jalan Kapasa Raya, Daya, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Daya,Biringkanaya,Makassar,4.5334094926101285
1074,Senara Coffee & Kitchen,4.7,44,Art cafe,-5.1558253,119.4189676,"Mamajang Luar, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Mamajang Luar,Mamajang,Makassar,4.533000280077292
216,Mimesis Coffee and Studio,4.9,20,Coffee shop,-5.123929,119.4396557,"Jalan Daeng Regge 2, Rappokalling, Tallo, Makassar, Sulawesi Selatan, Sulawesi, 90216, Indonesia",Rappokalling,Tallo,Makassar,4.532937064641869
209,Kedai Kopi Ai,4.9,20,Coffee shop,-5.1841511,119.4495174,"Jalan Jipang Raya, Karunrung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90161, Indonesia",Karunrung,Rappocini,Makassar,4.532937064641869
500,global.kopi,4.9,20,Coffee shop,-5.1702943,119.4526157,"Permata Hijau Permai, Kassiʼ-Kassiʼ, Kassi-Kassi, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Kassi-Kassi,Rappocini,Makassar,4.532937064641869
322,Kopi Lain Hati BTP Tamalanrea,4.6,108,Coffee shop,-5.1321071,119.4987757,"Jalan Tamalanrea Raya, Bumi Tamalanrea Permai, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90241, Indonesia",Tamalanrea,Tamalanrea,Makassar,4.532477918142954
1147,Teteskopi,4.6,107,Coffee shop,-5.1500756,119.4753722,"Jalan Inspeksi Pam, Tellok, Batua, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Tellok,Manggala,Makassar,4.53216157402722
176,Gerobak Kopi Binggo,4.8,27,Coffee shop,-5.1728786,119.4540531,"Permata Hijau Permai, Kassiʼ-Kassiʼ, Kassi-Kassi, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Kassi-Kassi,Rappocini,Makassar,4.531958688418327
587,Rupa Kopi,4.7,43,Coffee shop,-5.1483531,119.4164679,"Mangkura, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",Mangkura,Ujung Pandang,Makassar,4.531882814272004
1208,WARKOP DOSE,4.6,103,Coffee shop,-5.1630973,119.4539688,"Jalan Toddopuli Raya Timur, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Paropo,Panakkukang,Makassar,4.530865989723744
838,Arabika Coffee Shop,4.6,101,Coffee shop,-5.1077709,119.5207599,"Alfa Mart, Jalan Pajaiang, Berua, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90615, Indonesia",Berua,Biringkanaya,Makassar,4.530199461269878
728,bubur bakar malathi,5.0,15,Coffee shop,-5.1464371,119.4165266,"Mangkura, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90113, Indonesia",Mangkura,Ujung Pandang,Makassar,4.530176024076943
1165,Broome Coffee,5.0,15,Coffee shop,-5.1707248,119.4793304,"BTN Makkioʼ Bajiʼ, Biring Romang, Bangkala, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Bangkala,Manggala,Makassar,4.530176024076943
455,Tenant KOPI MERDEKA,4.9,19,Coffee shop,-5.1868331,119.4260442,"Pacuan Kuda Dg Tata (YOSS), Jalan Tabaria, Mannuruki, Bonto Duri, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",Bonto Duri,Tamalate,Makassar,4.530010978917644
363,Djoempa coffee makassar,4.8,26,Cafe,-5.1348379,119.4802455,"BTN Asal Mula, Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar,4.529934895641419
564,Delicate Coffee Rotterdam,4.8,26,Coffee shop,-5.1339896,119.4044186,"BNI, Jalan Ujung Pandang, Bulogading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90171, Indonesia",Bulogading,Ujung Pandang,Makassar,4.529934895641419
468,Kedai dua sisi by sija,4.6,99,Coffee shop,-5.174257,119.4172609,"Jalan Kumala, Bonto Kamase, Jongaya, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90224, Indonesia",Jongaya,Tamalate,Makassar,4.529519955555331
136,Anotherplace Coffee House,4.6,98,Coffee shop,-5.1853627,119.449046,"Jalan Jipang Raya, Karunrung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90161, Indonesia",Karunrung,Rappocini,Makassar,4.529175217208652
956,M'KOPI,4.6,97,Coffee shop,-5.1339396,119.4286728,"Malimongan Baru, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90151, Indonesia",Malimongan Baru,Bontoala,Makassar,4.528827089854802
817,WARKOP EKO,4.7,40,Cafe,-5.1236746,119.4135916,"Jalan Muna, Melayu, Wajo, Makassar, Sulawesi Selatan, Sulawesi, 90156, Indonesia",Melayu,Wajo,Makassar,4.528438849467914
203,KOPI BORONG TALASAPANG VAPE STORE,4.7,40,Cafeteria,-5.182662,119.4470098,"Universitas Teknologi Sulawesi, Jalan Tala' Salapang, Karunrung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Karunrung,Rappocini,Makassar,4.528438849467914
941,Warkop Kita,4.7,40,Coffee shop,-5.1134448,119.5119313,"Daya, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90615, Indonesia",Daya,Biringkanaya,Makassar,4.528438849467914
117,Wirskopi,4.6,94,Coffee shop,-5.1513167,119.4326194,"Jalan Monginsidi Baru, Ballaparang, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90111, Indonesia",Ballaparang,Rappocini,Makassar,4.527761866527815
101,Coffee Solution,4.7,39,Coffee shop,-5.1761831,119.4574832,"Toko Rezki Bangunan, Jalan Aroepala, Tombolo, Karunrung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 92114, Indonesia",Karunrung,Rappocini,Makassar,4.527259289458903
1183,Cafe Kopi Tiga,4.9,18,Cafe,-5.1639596,119.4524516,"Jalan Toddopuli Raya Timur, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Paropo,Panakkukang,Makassar,4.527037867040069
1036,Saruga Kopitiam,4.9,18,Coffee shop,-5.1485855,119.4222243,"Jalan Gajah, Maricaya, Makassar, Sulawesi Selatan, Sulawesi, 90142, Indonesia",Maricaya,Makassar,Makassar,4.527037867040069
1192,BARCOFFEE,4.6,91,Coffee shop,-5.1668646,119.463396,"Borong, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Borong,Manggala,Makassar,4.526664272977592
1056,RECAP COFFEE,5.0,14,Coffee shop,-5.1468713,119.4240341,"FIF Group, 2, Jalan Sungai Walanae, Maricaya Baru, Makassar, Sulawesi Selatan, Sulawesi, 90142, Indonesia",Maricaya Baru,Makassar,Makassar,4.5262752907377415
877,Kopi 19,5.0,14,Coffee shop,-5.1112212,119.5115558,"Indomaret, Jalan Perintis Kemerdekaan, Daya, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90615, Indonesia",Daya,Biringkanaya,Makassar,4.5262752907377415
1135,Warkop 83S,5.0,14,Coffee shop,-5.1646281,119.4206025,"Jalan Veteran Selatan, Mamajang Dalam, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Mamajang Dalam,Mamajang,Makassar,4.5262752907377415
413,Maroa Kopi dan Tembakau,5.0,14,Coffee shop,-5.1391542,119.4844146,"Tamalanrea Indah, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90135, Indonesia",Tamalanrea Indah,Tamalanrea,Makassar,4.5262752907377415
486,Peanuts Coffee Company,5.0,14,Coffee shop,-5.1793823,119.425213,"DEWA CONVEKSI, Jalan Dg Tata 1 Blok 5, Mannuruki, Bonto Duri, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",Bonto Duri,Tamalate,Makassar,4.5262752907377415
434,RK RUMAH KOPI,4.7,38,Cafe,-5.1417981,119.4871471,"Jalan Bung Lorong 2, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90234, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar,4.526063397147667
929,Warkop Coffee 59,4.8,24,Coffee shop,-5.1085993,119.5106654,"Jalan Perintis Kemerdekaan, Daya, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90615, Indonesia",Daya,Biringkanaya,Makassar,4.525794222938929
476,Yasy coffee,4.9,17,Coffee shop,-5.1872005,119.4166939,"Tannga, Parang Tambung, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90224, Indonesia",Parang Tambung,Tamalate,Makassar,4.52401658616483
911,Coffee Berua,4.9,17,Cafe,-5.1159627,119.5234427,"Berua, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90242, Indonesia",Berua,Biringkanaya,Makassar,4.52401658616483
810,Kedai 89,4.7,36,Cafe,-5.131203,119.4113267,"Jalan Sumba, Pattunuang, Wajo, Makassar, Sulawesi Selatan, Sulawesi, 90171, Indonesia",Pattunuang,Wajo,Makassar,4.523621239736087
980,Warkop 129,4.6,83,Coffee shop,-5.1210798,119.4201065,"BRI, Jalan Tinumbu, Layang, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90165, Indonesia",Layang,Bontoala,Makassar,4.523567407407223
188,ANIMO KOPI & VAPE STORE,4.7,35,Coffee shop,-5.1606589,119.4283271,"Jalan Wijaya Kusuma 4, Banta-Bantaeng, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90221, Indonesia",Banta-Bantaeng,Rappocini,Makassar,4.522374262376199
586,KOPI MAJU DJAYA,5.0,13,Coffee shop,-5.1354256,119.4066426,"Jalan Wage Rudolf Supratman, Bulogading, Ujung Pandang, Makassar, Sulawesi Selatan, Sulawesi, 90171, Indonesia",Bulogading,Ujung Pandang,Makassar,4.522309243118449
1193,Kopi Justitia,5.0,13,Coffee shop,-5.1507545,119.4767043,"Lorong 6, Tellok, Batua, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Tellok,Manggala,Makassar,4.522309243118449
467,TOKO KOPI JINGGA,5.0,13,Coffee shop,-5.1719354,119.4165214,"Jalan Andi Mappaodang, Bonto Kamase, Jongaya, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90235, Indonesia",Jongaya,Tamalate,Makassar,4.522309243118449
872,Kopi Kogar,5.0,13,Coffee shop,-5.1095642,119.5176673,"Jalan Pajaiang, Daya, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90615, Indonesia",Daya,Biringkanaya,Makassar,4.522309243118449
1184,REDcarpet coffee,5.0,13,Coffee shop,-5.1638371,119.4554166,"Jalan Toddopuli X, Panakkukang Permai, Borong, Manggala, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Borong,Manggala,Makassar,4.522309243118449
1090,Storiamo,5.0,13,Coffee shop,-5.1605784,119.419962,"Labuang Baji, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90132, Indonesia",Labuang Baji,Mamajang,Makassar,4.522309243118449
823,Warkop Om LEXY,5.0,13,Coffee shop,-5.1222412,119.4088826,"KPPBC TMP B Makassar, Jalan Mohammad Hatta, Pelabuhan Makassar, Butung, Wajo, Makassar, Sulawesi Selatan, Sulawesi, 90173, Indonesia",Butung,Wajo,Makassar,4.522309243118449
368,Kopi Nova,5.0,13,Coffee shop,-5.1413632,119.4871793,"Jalan Bung, Tamalanrea Jaya, Tamalanrea, Makassar, Sulawesi Selatan, Sulawesi, 90234, Indonesia",Tamalanrea Jaya,Tamalanrea,Makassar,4.522309243118449
479,KOPI PERMATA,5.0,13,Cafe,-5.1723088,119.4454177,"indomaret, Jalan Tamalate Raya, Panakkukang Permai, Mappala, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Mappala,Rappocini,Makassar,4.522309243118449
969,Jalan Bareng Creative Space,5.0,13,Coffee shop,-5.1276541,119.420455,"Jalan Lamuru, Bontoala Tua, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90156, Indonesia",Bontoala Tua,Bontoala,Makassar,4.522309243118449
842,Oher coffee & tea,4.8,22,Coffee shop,-5.0818092,119.5278655,"Bumi Permata Sudiang, Sudiang, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90615, Indonesia",Sudiang,Biringkanaya,Makassar,4.521524602547637
77,Anafoora Rumah Kopi,4.8,22,Coffee shop,-5.1599764,119.4555594,"Jalan Anggrek, Kompleks Maizonette, Paropo, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 90233, Indonesia",Paropo,Panakkukang,Makassar,4.521524602547637
99,Cabana Coffee and Eatery,4.6,78,Coffee shop,-5.1753114,119.4554897,"Karunrung, Rappocini, Makassar, Sulawesi Selatan, Sulawesi, 90222, Indonesia",Karunrung,Rappocini,Makassar,4.52149544620534
667,Dottoro' dalam,4.9,16,Cafe,-5.1201715,119.4204229,"Tabaringan, Ujung Tanah, Makassar, Sulawesi Selatan, Sulawesi, 90165, Indonesia",Tabaringan,Ujung Tanah,Makassar,4.520945956113497
1284,Janji Jiwa Jilid 934 Cenderawasih,4.6,76,Coffee shop,-5.1634874,119.4125755,"Jalan Opu Daeng Risadju, Pa'batang, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90126, Indonesia",Pa'batang,Mamajang,Makassar,4.520634863154324
962,Warkop Aliyah Cahaya Abadi,4.6,75,Coffee shop,-5.1236484,119.421614,"Jalan Tinumbu III, Bunga Ejaya, Bontoala, Makassar, Sulawesi Selatan, Sulawesi, 90156, Indonesia",Bunga Ejaya,Bontoala,Makassar,4.520197457217811
53,Kopi Ujung Topaz,4.7,33,Coffee shop,-5.1549794,119.4394133,"WAROENG, Jalan Topaz Raya, Masale, Panakkukang, Makassar, Sulawesi Selatan, Sulawesi, 92300, Indonesia",Masale,Panakkukang,Makassar,4.519826653082136
